strain	virus	accession	date	country	serotype	author
A/Uganda/01/2021(H3N2)	Influenza a	A/Uganda/01/2021(H3N2)	2021-01-27	Uganda	H3N2	prism
A/Uganda/02/2021(H3N2)	Influenza a	A/Uganda/02/2021(H3N2)	2021-02-12	Uganda	H3N2	prism
A/Uganda/03/2021(H3N2)	Influenza a	A/Uganda/03/2021(H3N2)	2021-05-11	Uganda	H3N2	prism
A/Uganda/04/2021(H3N2)	Influenza a	A/Uganda/04/2021(H3N2)	2021-05-15	Uganda	H3N2	prism
A/Uganda/05/2021(H3N2)	Influenza a	A/Uganda/05/2021(H3N2)	2021-05-19	Uganda	H3N2	prism
A/Uganda/06/2021(H3N2)	Influenza a	A/Uganda/06/2021(H3N2)	2021-05-19	Uganda	H3N2	prism
A/Uganda/07/2021(H3N2)	Influenza a	A/Uganda/07/2021(H3N2)	2021-05-31	Uganda	H3N2	prism
A/Uganda/08/2021(H3N2)	Influenza a	A/Uganda/08/2021(H3N2)	2021-06-25	Uganda	H3N2	prism
A/Uganda/09/2021(H3N2)	Influenza a	A/Uganda/09/2021(H3N2)	2021-07-06	Uganda	H3N2	prism
						
						
						